rr,rr_reduced,total_traced,inf_p
1,1,0,4
0,0,0,5
5,3,0,4
2,1,0,4
1,1,0,2
2,1,0,4
7,3,0,2
1,1,0,2
1,1,0,5
4,1,0,2
2,1,0,2
9,4,0,2
5,5,0,5
0,0,0,1
3,3,0,5
3,0,0,1
0,0,0,5
1,1,0,5
1,1,0,3
5,4,0,4
2,2,0,2
0,0,0,5
0,0,0,5
6,1,0,1
5,5,0,5
0,0,0,1
1,1,0,1
4,4,0,4
2,1,0,2
3,3,0,5
3,3,0,2
0,0,0,1
13,7,0,3
2,1,0,1
0,0,0,5
2,1,0,1
1,1,0,5
1,1,0,5
0,0,0,4
3,3,0,5
0,0,0,4
2,2,0,3
3,3,0,5
1,1,0,4
4,2,0,1
0,0,0,5
1,1,0,5
1,1,0,5
1,1,0,1
0,0,0,5
0,0,0,3
4,4,0,4
0,0,0,4
0,0,0,1
0,0,0,5
23,16,0,3
0,0,0,3
2,2,0,1
20,20,0,5
5,5,0,5
1,0,0,2
2,2,0,5
3,3,0,5
0,0,0,5
0,0,0,1
3,2,0,4
0,0,0,5
0,0,0,5
4,2,0,4
1,1,0,5
4,2,0,4
3,3,0,5
3,3,0,4
5,2,0,2
5,2,0,2
1,1,0,5
1,1,0,5
1,1,0,5
4,3,0,1
0,0,0,5
2,1,0,3
0,0,0,4
2,1,0,4
2,2,0,5
5,1,0,1
1,1,0,2
2,2,0,1
0,0,0,4
4,4,0,5
0,0,0,5
2,2,0,2
4,4,0,5
0,0,0,4
8,6,0,4
2,2,0,5
1,0,0,1
2,1,0,3
0,0,0,5
1,1,0,5
0,0,0,5
28,16,0,2
7,7,0,5
6,4,0,3
3,2,0,4
0,0,0,5
1,1,0,5
1,0,0,3
5,3,0,1
2,2,0,5
1,1,0,5
2,2,0,5
2,2,0,5
2,2,0,5
2,2,0,5
10,10,0,5
2,2,0,5
5,5,0,5
1,1,0,5
0,0,0,5
2,2,0,3
1,1,0,3
1,1,0,5
0,0,0,1
0,0,0,5
0,0,0,5
3,0,0,2
0,0,0,5
0,0,0,1
1,1,0,5
1,1,0,5
1,1,0,5
0,0,0,2
2,2,0,5
1,1,0,4
3,0,0,1
8,7,0,4
1,1,0,4
6,4,0,3
0,0,0,2
4,3,0,4
5,3,0,3
4,4,0,5
1,1,0,4
3,3,0,5
4,4,0,4
1,1,0,4
3,3,0,5
1,1,0,5
1,1,0,5
2,1,0,2
1,1,0,5
1,1,0,2
6,5,0,4
0,0,0,5
0,0,0,4
1,0,0,3
0,0,0,5
0,0,0,2
1,1,0,5
1,1,0,5
0,0,0,5
3,3,0,5
0,0,0,4
7,4,0,3
1,1,0,5
0,0,0,2
1,1,0,4
7,5,0,4
0,0,0,5
1,0,0,2
3,1,0,1
3,3,0,5
8,2,0,2
1,1,0,5
6,5,0,4
7,7,0,5
6,1,0,1
1,1,0,1
2,2,0,3
1,1,0,4
0,0,0,5
3,3,0,5
0,0,0,5
2,2,0,3
14,7,0,2
5,5,0,4
0,0,0,3
6,4,0,3
2,2,0,5
3,1,0,1
2,2,0,5
3,2,0,4
12,11,0,4
0,0,0,5
2,2,0,5
2,1,0,2
0,0,0,5
0,0,0,3
2,2,0,1
1,1,0,5
3,1,0,3
7,4,0,3
4,4,0,5
2,2,0,3
9,3,0,2
3,3,0,1
10,6,0,2
6,2,0,1
1,0,0,1
0,0,0,5
0,0,0,5
3,3,0,4
0,0,0,3
5,3,0,2
1,1,0,1
0,0,0,2
2,0,0,1
0,0,0,5
1,1,0,5
3,3,0,5
0,0,0,1
0,0,0,5
6,3,0,2
9,9,0,5
0,0,0,4
4,3,0,3
1,1,0,5
0,0,0,1
1,1,0,5
0,0,0,2
0,0,0,5
6,6,0,5
1,1,0,5
4,2,0,2
2,2,0,3
1,1,0,1
7,4,0,2
2,2,0,5
6,6,0,5
0,0,0,5
2,1,0,4
1,1,0,5
9,9,0,5
1,1,0,2
1,1,0,5
0,0,0,5
4,3,0,2
0,0,0,1
0,0,0,5
0,0,0,5
1,1,0,3
2,2,0,5
0,0,0,2
2,2,0,2
3,3,0,4
1,1,0,5
3,3,0,4
0,0,0,5
3,2,0,4
0,0,0,5
1,1,0,4
4,2,0,4
0,0,0,4
4,4,0,4
9,4,0,2
2,2,0,5
3,2,0,2
1,1,0,5
1,1,0,2
4,0,0,2
0,0,0,5
4,4,0,4
1,1,0,2
0,0,0,2
2,2,0,5
0,0,0,4
0,0,0,4
0,0,0,3
0,0,0,2
1,1,0,5
4,4,0,5
2,2,0,5
4,3,0,3
0,0,0,5
4,1,0,1
4,4,0,3
1,1,0,3
0,0,0,4
0,0,0,4
0,0,0,2
3,3,0,5
2,2,0,5
11,3,0,2
4,4,0,5
0,0,0,1
3,1,0,1
0,0,0,5
1,1,0,5
0,0,0,1
1,1,0,5
4,4,0,5
2,2,0,2
1,1,0,2
1,1,0,5
5,3,0,2
0,0,0,5
3,3,0,4
1,0,0,3
2,1,0,3
1,1,0,3
2,2,0,5
6,3,0,3
2,1,0,2
0,0,0,3
2,2,0,4
3,2,0,4
6,6,0,5
2,2,0,5
0,0,0,1
3,0,0,1
0,0,0,5
0,0,0,5
2,2,0,4
0,0,0,1
4,1,0,1
2,2,0,5
0,0,0,5
0,0,0,5
4,4,0,5
2,2,0,5
0,0,0,5
0,0,0,3
1,1,0,2
6,6,0,3
2,1,0,1
4,3,0,3
7,6,0,4
1,1,0,5
1,1,0,5
2,1,0,4
5,5,0,5
0,0,0,3
9,9,0,5
0,0,0,3
0,0,0,2
0,0,0,5
0,0,0,5
3,0,0,2
0,0,0,4
1,1,0,4
0,0,0,3
0,0,0,5
1,0,0,1
2,2,0,5
4,3,0,2
8,8,0,5
1,1,0,4
0,0,0,2
1,1,0,5
1,1,0,2
0,0,0,4
2,1,0,4
0,0,0,1
3,0,0,1
0,0,0,5
3,0,0,1
2,1,0,2
1,1,0,5
0,0,0,5
1,1,0,3
0,0,0,5
5,3,0,2
2,2,0,4
0,0,0,4
1,0,0,4
0,0,0,5
0,0,0,5
4,4,0,5
2,2,0,3
0,0,0,5
4,2,0,2
3,1,0,1
1,1,0,5
1,1,0,5
1,0,0,1
1,1,0,5
4,4,0,5
2,2,0,5
3,3,0,1
1,1,0,5
1,1,0,4
4,1,0,1
4,4,0,5
2,0,0,1
0,0,0,4
1,1,0,5
6,2,0,2
0,0,0,5
2,1,0,1
1,1,0,5
1,1,0,5
5,3,0,2
2,2,0,5
1,0,0,2
0,0,0,5
3,1,0,2
2,2,0,5
3,3,0,5
0,0,0,3
2,2,0,5
0,0,0,5
1,1,0,5
1,1,0,5
6,6,0,5
0,0,0,2
0,0,0,5
0,0,0,5
2,2,0,4
11,9,0,4
12,12,0,5
2,2,0,5
0,0,0,1
7,5,0,3
4,4,0,3
0,0,0,5
1,1,0,4
0,0,0,5
0,0,0,5
1,1,0,5
2,2,0,2
0,0,0,5
0,0,0,5
0,0,0,5
6,2,0,3
3,2,0,4
0,0,0,5
3,3,0,5
2,1,0,2
2,2,0,5
1,1,0,2
2,2,0,4
2,2,0,1
1,1,0,5
6,3,0,2
0,0,0,5
4,4,0,5
3,3,0,5
0,0,0,5
2,2,0,5
2,2,0,5
0,0,0,5
23,23,0,5
3,2,0,2
1,1,0,5
1,1,0,4
11,5,0,1
0,0,0,2
0,0,0,5
1,0,0,1
1,1,0,5
3,1,0,1
1,1,0,1
4,3,0,4
1,1,0,5
2,1,0,2
4,4,0,5
6,1,0,3
1,1,0,5
2,1,0,3
5,5,0,5
0,0,0,5
3,1,0,1
1,1,0,4
2,2,0,4
1,0,0,1
0,0,0,5
3,2,0,1
18,7,0,2
4,2,0,2
1,1,0,2
2,2,0,5
3,3,0,4
8,8,0,5
4,1,0,1
9,9,0,5
1,1,0,5
0,0,0,3
5,2,0,3
0,0,0,1
0,0,0,2
7,6,0,4
3,3,0,5
0,0,0,5
7,7,0,5
8,8,0,5
1,1,0,5
1,1,0,1
0,0,0,2
2,2,0,5
8,8,0,5
0,0,0,5
9,4,0,1
4,4,0,5
2,2,0,5
1,0,0,3
0,0,0,5
3,3,0,5
0,0,0,5
5,2,0,2
1,1,0,1
2,1,0,1
2,2,0,5
1,0,0,2
1,0,0,4
8,8,0,5
9,4,0,2
1,1,0,5
0,0,0,5
3,1,0,1
2,1,0,2
2,2,0,5
2,1,0,1
2,1,0,3
3,3,0,5
3,3,0,5
6,6,0,5
4,0,0,1
0,0,0,5
3,2,0,3
0,0,0,5
2,2,0,5
0,0,0,1
7,7,0,5
6,6,0,5
0,0,0,5
5,5,0,5
6,4,0,3
4,4,0,5
9,2,0,1
3,3,0,4
0,0,0,2
1,1,0,5
21,8,0,1
1,1,0,5
0,0,0,5
20,5,0,2
1,1,0,5
7,4,0,3
1,1,0,2
4,4,0,4
3,2,0,3
0,0,0,4
1,0,0,1
5,5,0,5
5,1,0,1
8,8,0,5
1,1,0,4
1,1,0,4
4,2,0,2
2,2,0,5
2,2,0,4
7,7,0,5
2,1,0,1
3,1,0,4
3,3,0,5
4,3,0,4
0,0,0,1
1,1,0,2
12,11,0,4
4,4,0,5
5,5,0,4
9,9,0,4
0,0,0,5
0,0,0,5
3,3,0,4
0,0,0,4
1,1,0,5
1,1,0,5
1,1,0,5
5,1,0,2
0,0,0,5
1,1,0,5
2,2,0,4
0,0,0,1
0,0,0,1
0,0,0,1
1,1,0,5
2,2,0,5
2,2,0,4
0,0,0,5
6,5,0,4
1,1,0,5
3,0,0,2
3,3,0,2
1,1,0,4
4,4,0,5
0,0,0,4
5,3,0,2
1,0,0,2
4,2,0,4
0,0,0,4
0,0,0,2
0,0,0,1
0,0,0,4
1,1,0,5
3,1,0,1
0,0,0,5
1,1,0,5
1,1,0,5
2,1,0,1
2,2,0,5
0,0,0,5
0,0,0,3
3,3,0,4
2,2,0,5
1,1,0,3
5,5,0,5
4,3,0,3
4,3,0,2
0,0,0,5
0,0,0,5
4,0,0,1
0,0,0,1
0,0,0,2
3,3,0,3
1,0,0,1
0,0,0,5
4,4,0,5
0,0,0,5
0,0,0,3
0,0,0,1
4,4,0,4
3,3,0,5
1,1,0,5
0,0,0,5
2,1,0,4
5,5,0,5
1,0,0,4
0,0,0,5
10,10,0,5
1,1,0,5
3,3,0,5
0,0,0,3
4,4,0,5
7,6,0,3
4,3,0,4
1,1,0,2
1,0,0,4
1,1,0,5
0,0,0,5
2,2,0,5
1,1,0,3
1,1,0,5
6,2,0,2
3,2,0,4
0,0,0,5
1,1,0,3
0,0,0,5
0,0,0,4
3,2,0,4
1,1,0,5
1,1,0,5
1,0,0,2
3,3,0,5
0,0,0,5
2,2,0,4
0,0,0,2
1,1,0,3
3,2,0,2
2,1,0,2
0,0,0,5
2,0,0,1
0,0,0,5
0,0,0,3
2,2,0,5
0,0,0,5
0,0,0,5
3,3,0,5
3,2,0,2
0,0,0,5
0,0,0,4
1,1,0,5
6,6,0,5
1,0,0,1
1,1,0,5
0,0,0,5
6,1,0,2
0,0,0,1
2,2,0,5
7,5,0,1
0,0,0,5
1,1,0,4
4,1,0,2
12,10,0,4
0,0,0,1
0,0,0,2
1,1,0,1
1,1,0,4
0,0,0,2
1,1,0,5
1,1,0,1
5,2,0,1
2,0,0,2
2,0,0,1
0,0,0,5
4,4,0,5
3,3,0,4
1,1,0,1
3,0,0,1
3,3,0,3
3,2,0,3
4,3,0,1
5,1,0,1
0,0,0,4
0,0,0,5
3,0,0,2
0,0,0,4
0,0,0,5
4,1,0,3
1,1,0,5
0,0,0,5
1,1,0,5
1,1,0,3
2,2,0,5
9,8,0,4
4,3,0,4
4,1,0,2
1,1,0,2
8,8,0,5
8,2,0,1
0,0,0,2
7,5,0,2
1,1,0,5
7,4,0,3
5,0,0,1
2,2,0,5
0,0,0,4
1,1,0,4
5,4,0,4
2,0,0,1
0,0,0,1
1,1,0,5
2,1,0,1
1,1,0,5
1,1,0,5
2,2,0,5
1,1,0,5
1,0,0,2
4,3,0,3
0,0,0,4
3,0,0,1
0,0,0,5
2,2,0,5
0,0,0,5
0,0,0,4
8,5,0,3
0,0,0,5
0,0,0,5
1,1,0,4
2,2,0,5
2,2,0,5
4,3,0,2
1,1,0,4
3,3,0,4
7,3,0,2
2,0,0,1
3,1,0,4
1,1,0,1
10,10,0,5
0,0,0,4
2,1,0,1
2,2,0,5
0,0,0,5
1,1,0,5
6,6,0,5
0,0,0,5
3,3,0,5
5,3,0,3
0,0,0,5
0,0,0,5
2,2,0,5
2,2,0,2
6,6,0,5
1,1,0,4
7,2,0,2
1,1,0,1
7,6,0,4
2,2,0,4
1,1,0,5
6,6,0,4
4,2,0,3
1,1,0,5
0,0,0,5
1,1,0,2
0,0,0,5
2,2,0,5
4,4,0,5
0,0,0,1
3,3,0,5
1,1,0,4
1,1,0,5
2,2,0,5
2,2,0,4
0,0,0,5
0,0,0,5
6,6,0,5
1,1,0,4
0,0,0,2
0,0,0,5
2,2,0,5
1,1,0,5
1,1,0,2
1,1,0,5
1,1,0,2
2,2,0,5
0,0,0,4
4,0,0,1
0,0,0,2
3,2,0,4
1,1,0,1
2,2,0,5
6,6,0,2
5,5,0,5
2,0,0,1
0,0,0,5
15,2,0,1
5,5,0,5
0,0,0,5
1,1,0,5
1,0,0,4
1,1,0,4
6,2,0,2
6,2,0,1
2,2,0,4
0,0,0,1
2,2,0,5
0,0,0,3
25,17,0,4
0,0,0,5
0,0,0,1
2,2,0,5
1,1,0,5
2,2,0,5
6,4,0,2
5,3,0,2
3,3,0,3
0,0,0,3
0,0,0,5
3,2,0,3
1,1,0,5
21,12,0,2
3,0,0,1
1,1,0,2
3,2,0,2
1,1,0,5
0,0,0,5
13,5,0,2
1,1,0,5
1,1,0,2
2,1,0,1
2,1,0,4
0,0,0,4
0,0,0,4
5,0,0,1
3,0,0,1
0,0,0,5
5,4,0,4
2,2,0,5
14,8,0,2
0,0,0,3
1,1,0,2
1,1,0,4
1,1,0,1
3,3,0,5
0,0,0,5
2,2,0,4
0,0,0,5
2,2,0,1
2,2,0,5
0,0,0,2
0,0,0,1
5,5,0,5
0,0,0,5
3,2,0,4
0,0,0,3
0,0,0,4
2,1,0,2
3,2,0,2
0,0,0,5
1,1,0,5
5,5,0,4
1,1,0,5
1,1,0,3
0,0,0,1
5,3,0,2
2,2,0,5
2,2,0,5
2,2,0,3
0,0,0,4
0,0,0,4
0,0,0,4
3,1,0,2
2,2,0,5
3,3,0,5
3,3,0,5
1,0,0,2
3,1,0,1
2,2,0,3
2,2,0,5
0,0,0,1
0,0,0,5
1,0,0,3
8,1,0,1
7,6,0,4
3,2,0,2
3,2,0,4
1,1,0,5
2,2,0,2
0,0,0,2
3,3,0,4
5,4,0,4
0,0,0,3
0,0,0,1
1,1,0,3
4,3,0,1
15,13,0,4
2,1,0,2
6,6,0,4
0,0,0,5
1,1,0,5
5,5,0,5
12,4,0,2
2,2,0,3
4,3,0,4
5,4,0,4
2,2,0,5
0,0,0,5
2,2,0,5
1,1,0,4
3,3,0,5
2,2,0,5
1,1,0,5
0,0,0,5
0,0,0,4
2,2,0,3
4,3,0,3
26,21,0,3
1,1,0,5
1,1,0,5
3,3,0,4
1,1,0,5
1,1,0,5
1,1,0,5
0,0,0,5
0,0,0,5
9,9,0,5
3,2,0,4
2,2,0,4
1,1,0,5
0,0,0,5
1,1,0,4
3,1,0,2
2,2,0,5
1,0,0,1
0,0,0,5
0,0,0,3
2,1,0,3
0,0,0,5
3,0,0,1
3,3,0,2
4,0,0,3
5,5,0,5
3,2,0,2
3,1,0,1
1,1,0,5
0,0,0,3
2,1,0,4
0,0,0,2
1,1,0,4
1,1,0,5
0,0,0,5
11,11,0,5
1,1,0,2
0,0,0,5
0,0,0,5
1,1,0,4
1,1,0,5
7,7,0,5
2,2,0,5
1,1,0,5
2,2,0,5
8,2,0,1
1,1,0,5
14,10,0,2
2,2,0,2
1,1,0,5
4,4,0,5
1,1,0,5
0,0,0,5
4,2,0,2
9,2,0,1
3,3,0,5
3,2,0,3
3,3,0,4
0,0,0,5
0,0,0,5
1,1,0,3
2,2,0,5
2,2,0,5
1,1,0,2
1,1,0,5
0,0,0,4
2,2,0,5
3,2,0,4
1,1,0,4
0,0,0,5
1,1,0,5
3,2,0,4
1,1,0,5
0,0,0,5
6,5,0,4
1,0,0,1
0,0,0,2
2,2,0,1
2,2,0,5
2,1,0,2
0,0,0,5
6,2,0,1
3,3,0,4
13,11,0,4
9,6,0,4
1,1,0,5
5,0,0,1
3,3,0,5
1,0,0,1
1,1,0,5
0,0,0,5
0,0,0,1
0,0,0,5
0,0,0,5
3,3,0,4
16,16,0,5
0,0,0,3
1,1,0,5
3,1,0,1
1,1,0,3
1,1,0,1
0,0,0,2
1,0,0,3
1,1,0,1
3,3,0,2
4,1,0,1
0,0,0,5
0,0,0,2
12,5,0,2
5,4,0,4
4,4,0,5
6,5,0,4
1,1,0,5
0,0,0,3
1,1,0,5
2,2,0,5
1,1,0,5
3,3,0,5
0,0,0,4
2,2,0,5
1,1,0,4
9,0,0,1
2,1,0,4
6,3,0,1
1,1,0,5
2,2,0,5
5,5,0,5
8,6,0,2
6,6,0,5
2,2,0,5
0,0,0,5
5,5,0,4
0,0,0,1
0,0,0,5
1,1,0,5
5,5,0,3
3,2,0,1
3,1,0,2
3,3,0,5
2,2,0,3
7,2,0,2
8,1,0,1
0,0,0,1
7,1,0,1
4,3,0,4
0,0,0,5
3,1,0,1
5,4,0,3
3,3,0,4
1,1,0,5
0,0,0,4
1,1,0,5
1,1,0,5
10,9,0,4
5,5,0,5
1,1,0,5
1,1,0,5
11,11,0,5
5,5,0,5
8,8,0,5
0,0,0,4
6,6,0,5
0,0,0,4
3,3,0,5
1,1,0,5
0,0,0,5
6,4,0,4
1,1,0,5
0,0,0,5
13,4,0,1
2,2,0,2
2,2,0,5
0,0,0,5
2,1,0,3
1,1,0,4
5,4,0,4
2,1,0,2
0,0,0,5
1,1,0,5
10,6,0,3
6,4,0,3
0,0,0,5
0,0,0,5
3,2,0,2
2,1,0,2
1,1,0,5
1,1,0,4
17,14,0,4
11,0,0,1
2,2,0,3
6,6,0,5
0,0,0,5
0,0,0,3
0,0,0,5
3,2,0,1
2,2,0,4
0,0,0,5
2,2,0,5
1,1,0,5
0,0,0,5
6,5,0,4
0,0,0,3
1,0,0,1
7,7,0,5
1,1,0,4
0,0,0,1
0,0,0,5
2,0,0,1
0,0,0,5
1,1,0,1
0,0,0,1
9,9,0,5
1,1,0,5
1,1,0,5
4,1,0,1
3,3,0,5
5,4,0,4
1,1,0,3
1,1,0,5
1,1,0,4
0,0,0,5
7,4,0,3
2,1,0,3
1,1,0,5
2,1,0,3
4,3,0,1
2,2,0,5
9,9,0,5
8,3,0,2
5,3,0,1
0,0,0,3
3,1,0,2
3,1,0,2
2,1,0,4
0,0,0,5
3,2,0,3
6,4,0,2
4,4,0,5
1,1,0,5
1,1,0,5
2,2,0,5
0,0,0,2
1,1,0,5
9,3,0,2
0,0,0,3
1,1,0,5
0,0,0,2
0,0,0,4
4,4,0,5
5,1,0,1
1,1,0,5
5,5,0,5
0,0,0,2
3,3,0,5
2,2,0,5
5,2,0,2
0,0,0,4
2,2,0,5
2,0,0,3
2,2,0,5
2,2,0,4
0,0,0,2
1,1,0,5
1,1,0,5
1,1,0,1
0,0,0,5
4,3,0,3
1,1,0,4
2,2,0,5
0,0,0,2
0,0,0,4
0,0,0,5
1,1,0,3
0,0,0,4
5,2,0,2
4,3,0,4
2,2,0,5
1,1,0,5
1,1,0,5
2,2,0,5
2,2,0,5
1,1,0,5
1,1,0,5
4,4,0,5
2,2,0,3
0,0,0,2
1,1,0,1
1,1,0,5
0,0,0,5
0,0,0,5
3,3,0,5
9,7,0,4
1,1,0,5
0,0,0,5
3,3,0,5
1,1,0,2
1,1,0,5
3,3,0,5
0,0,0,5
3,1,0,1
0,0,0,5
2,2,0,5
3,3,0,5
1,1,0,5
2,2,0,5
0,0,0,5
2,0,0,2
2,1,0,1
2,2,0,5
4,4,0,4
1,1,0,5
2,2,0,5
0,0,0,5
2,2,0,3
4,4,0,3
0,0,0,5
15,13,0,4
3,2,0,4
0,0,0,5
3,3,0,3
0,0,0,4
1,1,0,5
2,2,0,5
4,4,0,5
1,1,0,4
2,1,0,2
2,2,0,5
6,4,0,3
1,1,0,5
0,0,0,3
5,1,0,2
2,2,0,5
3,3,0,5
0,0,0,5
4,4,0,5
0,0,0,5
3,2,0,3
1,1,0,5
2,0,0,1
2,2,0,5
6,1,0,2
0,0,0,5
2,2,0,5
0,0,0,5
1,1,0,5
3,3,0,5
0,0,0,3
0,0,0,3
1,1,0,5
1,1,0,5
1,1,0,1
0,0,0,5
0,0,0,2
5,5,0,4
2,2,0,5
4,2,0,1
5,5,0,5
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,3
3,3,0,2
1,1,0,4
1,1,0,4
3,2,0,4
5,5,0,5
0,0,0,4
1,0,0,4
1,1,0,5
1,1,0,2
0,0,0,5
0,0,0,1
16,4,0,1
0,0,0,5
1,1,0,5
0,0,0,5
2,1,0,4
2,0,0,1
0,0,0,1
1,0,0,1
2,2,0,5
7,5,0,3
2,2,0,4
3,3,0,2
5,5,0,5
1,1,0,1
22,4,0,1
1,0,0,2
1,1,0,5
4,0,0,1
0,0,0,2
1,1,0,1
4,4,0,5
5,5,0,5
2,2,0,5
2,2,0,5
1,1,0,3
0,0,0,5
2,2,0,4
9,3,0,1
9,5,0,3
1,1,0,5
1,1,0,3
3,3,0,5
5,0,0,1
0,0,0,5
10,9,0,4
6,5,0,4
9,3,0,2
1,1,0,3
11,11,0,5
1,1,0,5
0,0,0,5
0,0,0,4
2,2,0,5
7,5,0,2
15,11,0,3
3,3,0,4
4,1,0,1
0,0,0,5
1,1,0,4
2,2,0,5
1,1,0,2
1,1,0,5
2,2,0,4
1,0,0,1
1,1,0,5
3,3,0,4
0,0,0,4
1,0,0,4
3,1,0,2
2,2,0,1
3,2,0,2
3,0,0,1
0,0,0,1
0,0,0,5
0,0,0,4
3,0,0,2
0,0,0,2
10,5,0,2
0,0,0,5
1,1,0,1
0,0,0,2
2,2,0,5
1,0,0,1
1,1,0,2
1,1,0,5
2,1,0,1
3,3,0,4
0,0,0,5
7,3,0,3
10,4,0,1
4,1,0,1
1,1,0,5
1,1,0,5
4,4,0,5
4,4,0,5
0,0,0,5
3,3,0,5
2,1,0,4
2,0,0,2
1,1,0,2
10,10,0,5
1,1,0,5
0,0,0,5
3,3,0,4
0,0,0,5
4,3,0,4
1,1,0,5
2,2,0,2
15,15,0,5
2,2,0,4
3,0,0,2
1,1,0,2
2,2,0,5
1,1,0,4
2,2,0,5
1,1,0,1
2,2,0,5
5,5,0,5
2,2,0,5
0,0,0,5
0,0,0,2
1,1,0,5
2,2,0,5
3,2,0,1
5,5,0,4
1,0,0,3
8,6,0,3
1,1,0,5
2,2,0,5
9,1,0,2
1,1,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
1,1,0,5
1,1,0,5
0,0,0,5
1,1,0,3
5,4,0,1
2,2,0,4
0,0,0,5
16,5,0,2
4,4,0,5
2,1,0,2
1,1,0,2
0,0,0,5
1,0,0,1
2,2,0,5
0,0,0,5
8,8,0,5
3,3,0,1
0,0,0,5
10,4,0,1
2,2,0,5
5,4,0,4
3,1,0,1
0,0,0,5
0,0,0,5
1,1,0,5
0,0,0,1
0,0,0,2
1,1,0,5
2,0,0,3
0,0,0,5
0,0,0,4
1,1,0,2
1,1,0,5
0,0,0,2
0,0,0,5
1,1,0,2
3,3,0,5
1,1,0,5
1,1,0,5
5,2,0,2
4,4,0,3
7,5,0,2
1,0,0,1
2,2,0,3
5,5,0,4
1,1,0,4
0,0,0,5
0,0,0,5
2,2,0,5
3,3,0,5
0,0,0,4
6,2,0,2
4,4,0,4
1,1,0,5
0,0,0,5
2,1,0,2
3,2,0,4
3,3,0,5
1,1,0,5
0,0,0,5
12,9,0,4
2,0,0,1
11,6,0,2
0,0,0,4
0,0,0,5
2,1,0,2
4,4,0,5
1,1,0,5
1,1,0,5
2,0,0,2
0,0,0,4
0,0,0,5
1,0,0,1
0,0,0,5
0,0,0,5
3,3,0,5
3,3,0,4
14,9,0,4
0,0,0,5
12,1,0,1
0,0,0,4
1,1,0,1
15,0,0,1
10,7,0,4
6,6,0,5
6,1,0,1
0,0,0,4
10,10,0,5
9,5,0,3
2,2,0,5
0,0,0,3
7,7,0,5
1,1,0,3
8,7,0,4
16,15,0,4
4,2,0,1
0,0,0,5
7,2,0,4
2,1,0,3
0,0,0,5
1,1,0,5
0,0,0,5
1,1,0,5
4,4,0,5
1,0,0,1
6,6,0,5
0,0,0,1
1,1,0,1
5,3,0,4
0,0,0,5
2,2,0,5
0,0,0,5
5,4,0,3
1,1,0,5
9,8,0,4
6,2,0,1
2,2,0,5
1,1,0,5
0,0,0,3
3,3,0,5
3,3,0,5
0,0,0,5
2,2,0,5
0,0,0,4
2,2,0,5
0,0,0,1
0,0,0,5
3,0,0,2
0,0,0,5
0,0,0,5
2,1,0,1
2,2,0,5
3,0,0,1
0,0,0,2
4,4,0,5
3,3,0,5
0,0,0,1
1,1,0,5
0,0,0,2
2,0,0,1
1,1,0,4
1,1,0,5
4,4,0,5
5,5,0,4
5,2,0,2
1,1,0,5
4,2,0,2
0,0,0,5
3,3,0,5
1,1,0,5
2,2,0,5
2,2,0,5
0,0,0,5
1,1,0,3
2,2,0,3
1,0,0,1
0,0,0,2
0,0,0,2
0,0,0,1
1,1,0,5
1,1,0,4
1,1,0,3
0,0,0,5
4,0,0,1
2,2,0,4
2,2,0,5
1,1,0,5
0,0,0,5
4,4,0,5
1,1,0,4
2,2,0,5
5,5,0,5
2,2,0,1
0,0,0,5
0,0,0,5
12,3,0,1
2,2,0,5
0,0,0,5
3,3,0,5
5,4,0,4
0,0,0,2
0,0,0,1
7,3,0,1
3,3,0,4
1,1,0,3
0,0,0,5
0,0,0,5
0,0,0,5
1,1,0,5
2,1,0,3
1,0,0,3
4,2,0,1
0,0,0,1
3,3,0,5
4,3,0,4
1,1,0,1
11,6,0,3
5,4,0,3
7,6,0,4
0,0,0,5
4,4,0,3
2,2,0,5
0,0,0,4
4,1,0,1
3,3,0,5
2,2,0,4
2,2,0,5
0,0,0,5
10,3,0,2
1,1,0,1
3,3,0,5
1,1,0,5
0,0,0,5
5,4,0,3
4,1,0,2
10,10,0,5
0,0,0,5
0,0,0,4
5,5,0,5
1,0,0,1
0,0,0,5
0,0,0,5
8,2,0,1
1,1,0,3
6,5,0,3
1,0,0,1
0,0,0,2
2,0,0,1
0,0,0,5
1,1,0,5
1,1,0,4
1,1,0,5
3,3,0,5
0,0,0,5
1,0,0,3
1,1,0,4
0,0,0,5
1,1,0,3
5,1,0,2
2,1,0,1
1,1,0,5
8,3,0,1
1,1,0,4
2,2,0,5
1,0,0,1
0,0,0,5
0,0,0,5
3,2,0,3
5,5,0,5
1,1,0,5
8,6,0,3
1,1,0,1
7,5,0,3
2,1,0,2
1,1,0,5
1,1,0,5
4,3,0,4
3,3,0,4
8,3,0,2
8,8,0,5
0,0,0,5
2,2,0,2
1,1,0,5
1,1,0,5
5,5,0,5
2,2,0,2
4,2,0,1
1,1,0,3
5,5,0,4
2,2,0,5
3,3,0,5
2,2,0,5
5,4,0,2
1,1,0,2
3,1,0,4
0,0,0,1
13,11,0,3
8,3,0,2
2,2,0,4
3,3,0,5
1,1,0,5
0,0,0,3
1,1,0,2
5,5,0,5
5,1,0,2
10,9,0,4
1,1,0,4
3,2,0,4
2,2,0,5
4,1,0,1
0,0,0,5
3,3,0,5
8,8,0,5
0,0,0,5
11,11,0,4
1,1,0,5
1,0,0,4
2,0,0,1
0,0,0,5
1,1,0,1
3,2,0,1
0,0,0,1
1,1,0,5
